instrument_token,tradingsymbol,time,open,high,low,close,volume
256265,NIFTY 50,2015-04-13 12:14:00 UTC,8806.45,8807.3,8805.3,8805.3,0
256265,NIFTY 50,2015-04-13 12:15:00 UTC,8805.05,8809.55,8803.75,8808.2,0
256265,NIFTY 50,2015-04-13 12:16:00 UTC,8808.85,8821.65,8808.85,8821.05,0
256265,NIFTY 50,2015-04-13 12:17:00 UTC,8821.7,8822.5,8817.9,8817.9,0
256265,NIFTY 50,2015-04-13 12:18:00 UTC,8818.55,8820.25,8817.25,8819.9,0
256265,NIFTY 50,2015-04-13 12:19:00 UTC,8819.5,8820.25,8816.7,8817.9,0
256265,NIFTY 50,2015-04-13 12:20:00 UTC,8817.1,8818,8815.1,8815.1,0
256265,NIFTY 50,2015-04-13 12:21:00 UTC,8817,8817.35,8815.1,8815.8,0
256265,NIFTY 50,2015-04-13 12:22:00 UTC,8815.3,8816.05,8812.85,8814.7,0
256265,NIFTY 50,2015-04-13 12:23:00 UTC,8814.25,8815.65,8813.65,8814.95,0
256265,NIFTY 50,2015-04-13 12:24:00 UTC,8814.4,8816.4,8813.3,8813.3,0
256265,NIFTY 50,2015-04-13 12:25:00 UTC,8812.6,8814.65,8812,8814.1,0
256265,NIFTY 50,2015-04-13 12:26:00 UTC,8814.2,8817.9,8814.2,8817.65,0
256265,NIFTY 50,2015-04-13 12:27:00 UTC,8817.75,8819.45,8817.75,8818.75,0
256265,NIFTY 50,2015-04-13 12:28:00 UTC,8819,8822.15,8818.8,8822.15,0
256265,NIFTY 50,2015-04-13 12:29:00 UTC,8823.25,8825.5,8821.9,8822.9,0
256265,NIFTY 50,2015-04-13 12:30:00 UTC,8822.75,8825.5,8822.7,8824.5,0
256265,NIFTY 50,2015-04-13 12:31:00 UTC,8824.15,8825.75,8823.1,8824.7,0
256265,NIFTY 50,2015-04-13 12:32:00 UTC,8824.75,8826.3,8822.3,8822.35,0
256265,NIFTY 50,2015-04-13 12:33:00 UTC,8822,8823.4,8820.7,8820.7,0
256265,NIFTY 50,2015-04-13 12:34:00 UTC,8820.95,8820.95,8818.6,8819.35,0
256265,NIFTY 50,2015-04-13 12:35:00 UTC,8819.35,8820.05,8817.85,8819,0
256265,NIFTY 50,2015-04-13 12:36:00 UTC,8819.65,8821.05,8817.55,8819.7,0
256265,NIFTY 50,2015-04-13 12:37:00 UTC,8820.2,8820.8,8818.7,8819.05,0
256265,NIFTY 50,2015-04-13 12:38:00 UTC,8819.4,8822.65,8819.05,8822.4,0
256265,NIFTY 50,2015-04-13 12:39:00 UTC,8822.45,8823.15,8821.55,8822.15,0
256265,NIFTY 50,2015-04-13 12:40:00 UTC,8822.35,8823.65,8822.2,8822.85,0
256265,NIFTY 50,2015-04-13 12:41:00 UTC,8823,8823.75,8821.55,8821.65,0
256265,NIFTY 50,2015-04-13 12:42:00 UTC,8821.8,8823.2,8820.65,8822.55,0
256265,NIFTY 50,2015-04-13 12:43:00 UTC,8821.95,8823.4,8821.65,8821.7,0
256265,NIFTY 50,2015-04-13 12:44:00 UTC,8821.65,8821.95,8818.25,8818.4,0
256265,NIFTY 50,2015-04-13 12:45:00 UTC,8818.3,8819.95,8817,8819.55,0
256265,NIFTY 50,2015-04-13 12:46:00 UTC,8819.55,8820.1,8817.75,8817.9,0
256265,NIFTY 50,2015-04-13 12:47:00 UTC,8817.65,8818.2,8815.85,8816.15,0
256265,NIFTY 50,2015-04-13 12:48:00 UTC,8815.9,8816.7,8814.8,8815.45,0
256265,NIFTY 50,2015-04-13 12:49:00 UTC,8815.45,8815.85,8811.9,8813,0
256265,NIFTY 50,2015-04-13 12:50:00 UTC,8813.65,8814.8,8810.6,8810.9,0
256265,NIFTY 50,2015-04-13 12:51:00 UTC,8810.6,8810.85,8808.5,8809,0
256265,NIFTY 50,2015-04-13 12:52:00 UTC,8809.1,8809.6,8807.2,8808.55,0
256265,NIFTY 50,2015-04-13 12:53:00 UTC,8808.3,8811.75,8807.5,8809.95,0
256265,NIFTY 50,2015-04-13 12:54:00 UTC,8810.35,8810.5,8807.2,8808.25,0
256265,NIFTY 50,2015-04-13 12:55:00 UTC,8808.15,8810.5,8807.6,8809.8,0
256265,NIFTY 50,2015-04-13 12:56:00 UTC,8809.65,8812.15,8809.65,8811.4,0
256265,NIFTY 50,2015-04-13 12:57:00 UTC,8811.9,8813.2,8810.95,8813,0
256265,NIFTY 50,2015-04-13 12:58:00 UTC,8813.1,8814.9,8813,8813.55,0
256265,NIFTY 50,2015-04-13 12:59:00 UTC,8813.85,8813.85,8809.4,8811.6,0
256265,NIFTY 50,2015-04-13 13:00:00 UTC,8810.85,8813.9,8810.4,8813.6,0
256265,NIFTY 50,2015-04-13 13:01:00 UTC,8813.7,8814.1,8811.9,8811.9,0
256265,NIFTY 50,2015-04-13 13:02:00 UTC,8812.4,8814.2,8812.3,8812.3,0
256265,NIFTY 50,2015-04-13 13:03:00 UTC,8812.8,8814.9,8812.45,8814.05,0
256265,NIFTY 50,2015-04-13 13:04:00 UTC,8814,8815.3,8813.65,8814.45,0
256265,NIFTY 50,2015-04-13 13:05:00 UTC,8814.8,8815.35,8812.6,8812.95,0
256265,NIFTY 50,2015-04-13 13:06:00 UTC,8812.2,8813.8,8806.35,8807.25,0
256265,NIFTY 50,2015-04-13 13:07:00 UTC,8808.6,8810.1,8806.4,8808.25,0
256265,NIFTY 50,2015-04-13 13:08:00 UTC,8808.2,8813.4,8808.2,8810.45,0
256265,NIFTY 50,2015-04-13 13:09:00 UTC,8810.25,8812.2,8809.3,8809.65,0
256265,NIFTY 50,2015-04-13 13:10:00 UTC,8809.55,8811.95,8808,8808,0
256265,NIFTY 50,2015-04-13 13:11:00 UTC,8808.1,8809.25,8807.85,8808.15,0
256265,NIFTY 50,2015-04-13 13:12:00 UTC,8808.45,8809.45,8807.7,8808.65,0
256265,NIFTY 50,2015-04-13 13:13:00 UTC,8808.85,8814.45,8808.85,8814.35,0
256265,NIFTY 50,2015-04-13 13:14:00 UTC,8814.4,8815.95,8813.1,8815.7,0
256265,NIFTY 50,2015-04-13 13:15:00 UTC,8815.8,8816.8,8815.3,8815.8,0
256265,NIFTY 50,2015-04-13 13:16:00 UTC,8815.8,8817.3,8815.7,8815.9,0
256265,NIFTY 50,2015-04-13 13:17:00 UTC,8816.3,8816.3,8814.75,8815.65,0
256265,NIFTY 50,2015-04-13 13:18:00 UTC,8815.8,8815.8,8812.7,8813.95,0
256265,NIFTY 50,2015-04-13 13:19:00 UTC,8813.95,8815.5,8813.85,8815.3,0
