,symbol,time,open,high,low,close
98,NIFTY BANK,2015-04-13 10:53:00 UTC,18749.3,18749.3,18746.65,18748.1
99,NIFTY BANK,2015-04-13 10:54:00 UTC,18748.1,18748.1,18733.25,18737.75
100,NIFTY BANK,2015-04-13 10:55:00 UTC,18737.75,18737.75,18728.45,18730.95
101,NIFTY BANK,2015-04-13 10:56:00 UTC,18730.2,18734.95,18730.2,18732.25
102,NIFTY BANK,2015-04-13 10:57:00 UTC,18732.25,18741.55,18732.25,18736.05
103,NIFTY BANK,2015-04-13 10:58:00 UTC,18736.45,18736.45,18727.9,18735.85
104,NIFTY BANK,2015-04-13 10:59:00 UTC,18735.85,18744.85,18735.8,18742.25
105,NIFTY BANK,2015-04-13 11:00:00 UTC,18742.25,18745.7,18742.25,18742.55
106,NIFTY BANK,2015-04-13 11:01:00 UTC,18745.15,18749.3,18740.7,18740.7
107,NIFTY BANK,2015-04-13 11:02:00 UTC,18740.7,18745.75,18734.8,18745.6
108,NIFTY BANK,2015-04-13 11:03:00 UTC,18745.6,18745.6,18739.15,18745.35
109,NIFTY BANK,2015-04-13 11:04:00 UTC,18743.5,18746.3,18741.75,18741.75
110,NIFTY BANK,2015-04-13 11:05:00 UTC,18741.75,18745.85,18738.65,18740.1
111,NIFTY BANK,2015-04-13 11:06:00 UTC,18740.1,18745.65,18736.25,18745.05
112,NIFTY BANK,2015-04-13 11:07:00 UTC,18745.05,18745.8,18741.7,18745.8
113,NIFTY BANK,2015-04-13 11:08:00 UTC,18747.55,18750.05,18743.4,18747.7
114,NIFTY BANK,2015-04-13 11:09:00 UTC,18747.7,18750.1,18744.8,18749.6
115,NIFTY BANK,2015-04-13 11:10:00 UTC,18749.6,18751.5,18748.15,18751.5
116,NIFTY BANK,2015-04-13 11:11:00 UTC,18751.5,18751.6,18745.9,18749.8
117,NIFTY BANK,2015-04-13 11:12:00 UTC,18749.8,18749.8,18738.25,18743.5
118,NIFTY BANK,2015-04-13 11:13:00 UTC,18743.5,18755.85,18743.5,18755.85
119,NIFTY BANK,2015-04-13 11:14:00 UTC,18755.85,18764.75,18755.85,18761.9
120,NIFTY BANK,2015-04-13 11:15:00 UTC,18761.9,18761.9,18757.3,18759.75
121,NIFTY BANK,2015-04-13 11:16:00 UTC,18759.75,18765.45,18758.6,18761.95
122,NIFTY BANK,2015-04-13 11:17:00 UTC,18761.95,18764.65,18758.3,18760.45
123,NIFTY BANK,2015-04-13 11:18:00 UTC,18760.45,18761.75,18754.8,18757
124,NIFTY BANK,2015-04-13 11:19:00 UTC,18757,18764.1,18754.6,18763.45
125,NIFTY BANK,2015-04-13 11:20:00 UTC,18763.45,18774.25,18763.1,18772.85
126,NIFTY BANK,2015-04-13 11:21:00 UTC,18772.7,18779.85,18768.5,18769.05
127,NIFTY BANK,2015-04-13 11:22:00 UTC,18769.05,18770.65,18766.45,18767.35
128,NIFTY BANK,2015-04-13 11:23:00 UTC,18767.35,18771.1,18764.55,18764.55
129,NIFTY BANK,2015-04-13 11:24:00 UTC,18764.55,18765.15,18758.9,18758.9
130,NIFTY BANK,2015-04-13 11:25:00 UTC,18758.9,18764.55,18758.05,18761.4
131,NIFTY BANK,2015-04-13 11:26:00 UTC,18761.3,18763.05,18759.75,18763.05
132,NIFTY BANK,2015-04-13 11:27:00 UTC,18763.05,18764.05,18760.8,18763.05
133,NIFTY BANK,2015-04-13 11:28:00 UTC,18763.05,18764.95,18760.1,18764
134,NIFTY BANK,2015-04-13 11:29:00 UTC,18764,18768.8,18760.95,18765
135,NIFTY BANK,2015-04-13 11:30:00 UTC,18764.9,18766.55,18761.75,18764.75
136,NIFTY BANK,2015-04-13 11:31:00 UTC,18764.75,18781.55,18764.75,18781.55
137,NIFTY BANK,2015-04-13 11:32:00 UTC,18781.55,18781.55,18766.25,18767.1
138,NIFTY BANK,2015-04-13 11:33:00 UTC,18767.2,18777.1,18767.2,18777.1
139,NIFTY BANK,2015-04-13 11:34:00 UTC,18777.1,18777.1,18768.3,18771.6
140,NIFTY BANK,2015-04-13 11:35:00 UTC,18771.6,18782.15,18771.6,18779.9
141,NIFTY BANK,2015-04-13 11:36:00 UTC,18779.9,18779.9,18774.7,18777.65
142,NIFTY BANK,2015-04-13 11:37:00 UTC,18779.4,18785.75,18777.65,18782.85
143,NIFTY BANK,2015-04-13 11:38:00 UTC,18782.85,18786.5,18779.2,18782.55
144,NIFTY BANK,2015-04-13 11:39:00 UTC,18782.55,18789.3,18782.55,18783.9
145,NIFTY BANK,2015-04-13 11:40:00 UTC,18783.9,18795.35,18783.9,18790.85
146,NIFTY BANK,2015-04-13 11:41:00 UTC,18790.45,18801.15,18790.45,18801.15
147,NIFTY BANK,2015-04-13 11:42:00 UTC,18801.15,18802.1,18795.3,18795.45
148,NIFTY BANK,2015-04-13 11:43:00 UTC,18795.45,18802.05,18795.45,18802.05
149,NIFTY BANK,2015-04-13 11:44:00 UTC,18802.05,18808.5,18800,18808.5
150,NIFTY BANK,2015-04-13 11:45:00 UTC,18808.5,18826.75,18807.4,18826.1
151,NIFTY BANK,2015-04-13 11:46:00 UTC,18826.1,18836.75,18826.1,18836.2
152,NIFTY BANK,2015-04-13 11:47:00 UTC,18836.2,18839.25,18830.75,18830.75
153,NIFTY BANK,2015-04-13 11:48:00 UTC,18830.75,18832.75,18825.25,18825.25
154,NIFTY BANK,2015-04-13 11:49:00 UTC,18825.25,18829.45,18823.8,18824.15
155,NIFTY BANK,2015-04-13 11:50:00 UTC,18824.15,18834,18824.15,18827.15
156,NIFTY BANK,2015-04-13 11:51:00 UTC,18827.15,18834.25,18827.15,18830.7
157,NIFTY BANK,2015-04-13 11:52:00 UTC,18830.7,18833.5,18830.25,18830.75
158,NIFTY BANK,2015-04-13 11:53:00 UTC,18827.85,18829.35,18823.15,18823.7
159,NIFTY BANK,2015-04-13 11:54:00 UTC,18823.7,18825.3,18820.2,18822.85
160,NIFTY BANK,2015-04-13 11:55:00 UTC,18822.85,18828.7,18822.85,18825.75
161,NIFTY BANK,2015-04-13 11:56:00 UTC,18825.75,18839.85,18823.55,18839.85
162,NIFTY BANK,2015-04-13 11:57:00 UTC,18839.85,18839.85,18827.25,18828.8
163,NIFTY BANK,2015-04-13 11:58:00 UTC,18828.8,18844.4,18828.8,18844.4
164,NIFTY BANK,2015-04-13 11:59:00 UTC,18839.85,18848.05,18838.05,18848.05
165,NIFTY BANK,2015-04-13 12:00:00 UTC,18848.05,18848.05,18840.2,18840.2
166,NIFTY BANK,2015-04-13 12:01:00 UTC,18836.65,18847.9,18836.65,18847.9
167,NIFTY BANK,2015-04-13 12:02:00 UTC,18847.9,18847.9,18837.8,18846.45
168,NIFTY BANK,2015-04-13 12:03:00 UTC,18846.45,18846.45,18836.7,18840.5
169,NIFTY BANK,2015-04-13 12:04:00 UTC,18835.75,18837.9,18829.3,18834.1
170,NIFTY BANK,2015-04-13 12:05:00 UTC,18834.1,18843.85,18830.25,18838.45
171,NIFTY BANK,2015-04-13 12:06:00 UTC,18835.6,18838.05,18831.3,18834.05
172,NIFTY BANK,2015-04-13 12:07:00 UTC,18831.3,18850.5,18831.3,18850.5
